20/May/2017

edge: (179, 168), down: 4, up: 10, left: 7, right: 8, (L==R) = False
edge: (286, 321), down: 4, up: 5, left: 15, right: 3, (L==R) = False
edge: (210, 214), down: 4, up: 10, left: 6, right: 5, (L==R) = False
edge: (80, 78),   down: 4, up: 4, left: 6, right: 7, (L==R) = False
edge: (214, 221), down: 4, up: 5, left: 10, right: 4, (L==R) = False
edge: (222, 332), down: 4, up: 6, left: 7, right: 17, (L==R) = False
edge: (7, 12),    down: 3, up: 7, left: 9, right: 9, (L==R) = False
edge: (144, 356), down: 4, up: 15, left: 5, right: 11, (L==R) = False
edge: (75, 85),   down: 4, up: 10, left: 10, right: 5, (L==R) = False
edge: (121, 70),  down: 4, up: 4, left: 7, right: 14, (L==R) = False
edge: (94, 95),   down: 4, up: 8, left: 7, right: 3, (L==R) = False
edge: (79, 191),  down: 4, up: 5, left: 16, right: 5, (L==R) = False
edge: (40, 41),   down: 4, up: 11, left: 7, right: 4, (L==R) = False
edge: (122, 71),  down: 4, up: 4, left: 7, right: 14, (L==R) = False
edge: (275, 322), down: 4, up: 6, left: 13, right: 11, (L==R) = False
edge: (103, 104), down: 4, up: 13, left: 6, right: 4, (L==R) = False
edge: (392, 125), down: 3, up: 7, left: 9, right: 6, (L==R) = False
edge: (23, 26),   down: 4, up: 7, left: 6, right: 7, (L==R) = False
edge: (312, 268), down: 4, up: 17, left: 7, right: 6, (L==R) = False
edge: (55, 44),   down: 3, up: 19, left: 14, right: 10, (L==R) = False
edge: (152, 150), down: 3, up: 11, left: 4, right: 11, (L==R) = False
edge: (383, 384), down: 4, up: 15, left: 11, right: 6, (L==R) = False
edge: (218, 217), down: 3, up: 8, left: 6, right: 8, (L==R) = False
edge: (295, 292), down: 4, up: 5, left: 5, right: 6, (L==R) = False
edge: (372, 364), down: 4, up: 10, left: 5, right: 10, (L==R) = False
edge: (236, 244), down: 4, up: 3, left: 11, right: 8, (L==R) = False
edge: (112, 223), down: 4, up: 10, left: 16, right: 4, (L==R) = False
edge: (98, 96),   down: 4, up: 5, left: 3, right: 7, (L==R) = False
edge: (266, 263), down: 3, up: 8, left: 6, right: 8, (L==R) = False
edge: (85, 82),   down: 4, up: 5, left: 10, right: 7, (L==R) = False
edge: (276, 270), down: 3, up: 13, left: 6, right: 15, (L==R) = False
edge: (15, 11),   down: 4, up: 9, left: 6, right: 7, (L==R) = False
edge: (62, 32),   down: 4, up: 3, left: 8, right: 7, (L==R) = False
edge: (285, 318), down: 4, up: 9, left: 15, right: 11, (L==R) = False
edge: (122, 121), down: 4, up: 7, left: 4, right: 4, (L==R) = False
